Name,Phone Number,Date,Source,Place,Approximate Weight,Remarks,Status,Address,City,State,Pincode,Category,Type,Unit,Preferred Language
Rahul Sharma,9811010001,2026-09-08,Facebook,Bangalore,15.5,Interested in selling old gold jewellery,Pending,"12, 1st Cross, Malleshwaram",Bangalore,Karnataka,560003,Gold,Physical,gm,Kannada
Priya Patel,9811010002,2026-09-08,Instagram,Bangalore,24,Enquiring today gold rate for 22k,Pending,"45, 2nd Main, Indiranagar",Bangalore,Karnataka,560038,Gold,Physical,gm,English
Anand Kumar,9811010003,2026-09-08,Google Ads,Bangalore,35.2,Wants branch visit near Rajajinagar,Pending,"88, 3rd Block, Rajajinagar",Bangalore,Karnataka,560010,Gold,Physical,gm,Kannada
Sneha Reddy,9811010004,2026-09-08,Website,Bangalore,18,Needs urgent cash against gold,Pending,"7, Koramangala 4th Block",Bangalore,Karnataka,560034,Gold,Physical,gm,Telugu
Vikram Singh,9811010005,2026-09-08,Referral,Bangalore,42.5,Gold coins release from bank enquiry,Pending,"19, Jayanagar 4th T Block",Bangalore,Karnataka,560041,Gold,Physical,gm,Hindi
Deepa Nair,9811010006,2026-09-08,Facebook,Bangalore,12.8,Asked about valuation process,Pending,"56, HSR Layout Sector 2",Bangalore,Karnataka,560102,Gold,Physical,gm,English
Suresh Gowda,9811010007,2026-09-08,Walk-in,Bangalore,50,Looking to sell bangles and chains,Pending,"33, Basaveshwaranagar Main Rd",Bangalore,Karnataka,560079,Gold,Physical,gm,Kannada
Kavitha R,9811010008,2026-09-08,Instagram,Bangalore,28.3,Wants doorstep evaluation if possible,Pending,"102, JP Nagar 6th Phase",Bangalore,Karnataka,560078,Gold,Physical,gm,Kannada
Mohammed Farooq,9811010009,2026-09-08,Google Ads,Bangalore,65,Pledged gold release assistance required,Pending,"14, Shivajinagar Broadway",Bangalore,Karnataka,560051,Gold,Physical,gm,Urdu
Manjunath B,9811010010,2026-09-08,Website,Bangalore,20,Check live price and branch timing,Pending,"77, Yelahanka New Town",Bangalore,Karnataka,560064,Gold,Physical,gm,Kannada
